# Time Tags
# 2025-04-30 15:19:24
# Unit Time Tag: 1.000ps
# Unit Channel: 1
# Time Tag ; Channel
    1595774767328066 ;                    1
    1595775476365692 ;                    2
    1595775624041293 ;                    2
    1595775680441618 ;                    1
    1595775697082073 ;                    2
    1595775726178775 ;                    2
    1595775830258593 ;                    2
    1595775832639738 ;                    2
    1595775933790752 ;                    2
    1595775974853522 ;                    1
    1595776002367179 ;                    1
    1595776014079511 ;                    1
    1595776033001796 ;                    2
    1595776148433242 ;                    1
    1595776307930073 ;                    2
    1595776395041656 ;                    3
    1595776415122198 ;                    1
    1595776446079861 ;                    2
    1595776538809847 ;                    1
    1595776698223308 ;                    2
    1595776746702374 ;                    4
    1595777154444844 ;                    2
    1595777398418031 ;                    1
    1595778095870349 ;                    4
    1595778324448536 ;                    1
    1595778443451744 ;                    3
    1595778590317859 ;                    3
    1595778668061634 ;                    1
    1595779004786035 ;                    2
    1595779385893382 ;                    2
    1595779714786699 ;                    2
    1595779714864859 ;                    2
